"id","question","category","stat","source","answer1Choice","answer2Choice","answer1Response","answer2Response","totalResponse","created","updated"
"0qdmb9278t","Do you have a gun in your household?","recreational","According to Men's Health, 4 in 5 guys would overcome their phobia if a woman dared them to skydive.","328,605 (37% of population)","yes","no",0,0,0,"2015-08-27T03:09:48.800Z","2015-08-27T03:09:48.800Z"
"3wj92b8auu","If you know you would not get caught cheating on your significant other, would you do it?","ethical","According to a 2014 report in the Journal of Marital and Family Therapy, 74% of men and 68% of women say that they would have an affair if they knew they would never get caught.","http://riskfactor.com/","yes","no",0,0,0,"2015-08-27T03:09:48.760Z","2015-08-27T03:09:48.760Z"
"5mgutgciku","Are you currently involved with your own startup?","socialandpoltical","37% nationwide average",50554,"yes","no",0,0,0,"2015-08-27T03:09:48.801Z","2015-08-27T03:09:48.801Z"
"5vfw42v3yh","Who do you think is more likely to be a victim of a weather related fatality in the U.S., men or women?","healthandsafety","In 2013, 306 ales were victims of weather related fatalities, compared to 125 females (71% to 29%, respectively)","http://riskfactor.com/","men","women",0,0,0,"2015-08-27T03:09:48.775Z","2015-08-27T03:09:48.775Z"
"79wwi6f08t","Do you feel safe in Austin?","healthandsafety","According to a 2013 study in Psychological Science, women remember faces better than men do.","http://www.statisticbrain.com/littering-statistics/","yes","no",0,0,0,"2015-08-27T03:09:48.843Z","2015-08-27T03:09:48.843Z"
"g83xy62ljw","Do you believe you are at a high risk of getting the death penalty in Texas?","healthandsafety","2005-2010 California has had the highest death penalty given at 100","http://www.statisticbrain.com/states-with-the-death-penalty/","yes","no",0,0,0,"2015-08-27T03:09:48.777Z","2015-08-27T03:09:48.777Z"
"ggl94tnf9u","Do you feel safe walking on the streets adjacent to traffic?","healthandsafety","UK research suggests that men consume almost 20% more calories when dining with same-sex friends than when dining solo.","need # of traffic deaths per year in austin/RR metro area","yes","no",0,0,0,"2015-08-27T03:09:48.799Z","2015-08-27T03:09:48.799Z"
"htjnbpfvdi","Do you feel safe walking at night?","healthandsafety","United States       Women feel  62 %       Men feel  89 %","http://www.statisticbrain.com/fear-of-walking-alone-at-night-statistics/","yes","no",0,0,0,"2015-08-27T03:09:48.799Z","2015-08-27T03:09:48.799Z"
"jataw2ga1m","Do you think you think it's safe to ride a bike in Austin?","recreational","An average bolt of lightning can soar to temperatures of approximately 50,000°F, five times hotter than the surface of the sun, and can contain as much as 200 million volts of electricity. A typical bolt is about 3 to 4 miles in length, but some have been measured as long as 90 miles, or as short as a few feet.","6 ppl year vs national average","yes","no",0,0,0,"2015-08-27T03:09:48.800Z","2015-08-27T03:09:48.800Z"
"r6650gujc7","Would you consider Austin a city that supports the lesbian, gay, bisexual and transgendet (LGBT) community?","socialandpolitical","According to NerdWallet, Austin ranks 7th among the country's top 10 most LBGT-friendly cities","http://riskfactor.com/","yes","no",0,0,0,"2015-08-27T03:09:48.776Z","2015-08-27T03:09:48.776Z"
"sh5m5wk2gb","Would you say you are living paycheck to paycheck?","financial","According to Healthways.com, 70% of Americans are living paycheck to paycheck","http://riskfactor.com/","yes","no",0,0,0,"2015-08-27T03:09:48.774Z","2015-08-27T03:09:48.774Z"
"sm3yxom4rb","Do you think the air you breathe is clean?","environmental","According to a 2014 report by the American Lung Association, almost half o f the U.S. population lives in areas where air pollution levels are dangerously high.","http://riskfactor.com/","yes","no",0,0,0,"2015-08-27T03:09:48.752Z","2015-08-27T03:09:48.752Z"
"t9ld818rdm","Would you every try stand-up paddleboarding (SUP)?","recreational","In 2013 Outdoor Foundation report, the sport boasted the highest rate of first-time participation out of 42 activities surveyed. The median age for stand up paddling in 2013 was 28.","http://riskfactor.com/","yes","no",0,0,0,"2015-08-27T03:09:48.775Z","2015-08-27T03:09:48.775Z"
"wgku71yeci","Do you feel that the population of Austin is generally more educated (Collegiate level and above)?","socialandpoltical","1/10000","http://www.usa.com/austin-tx-population-and-races--historical-education-level-data.htm","more","less",0,0,0,"2015-08-27T03:09:48.802Z","2015-08-27T03:09:48.802Z"
